player_total,dealer_total,result,count,percentage
4,21,Push,292,0.0292
5,21,Push,560,0.055999999999999994
6,21,Push,811,0.08109999999999999
7,21,Push,1070,0.107
8,21,Push,1438,0.1438
9,21,Push,1718,0.17179999999999998
10,21,Push,1973,0.1973
11,21,Push,2249,0.22490000000000002
12,21,Push,4501,0.4501
13,21,Push,4459,0.4459
14,21,Push,4236,0.42360000000000003
15,21,Push,3870,0.387
16,21,Push,3492,0.3492
17,17,Push,20977,2.0977
17,18,Loss,20458,2.0458
17,19,Loss,19205,1.9205
17,20,Loss,26047,2.6047000000000002
17,21,Loss,10424,1.0424
17,21,Push,3330,0.333
17,22,Win,10503,1.0503
17,23,Win,9457,0.9457
17,24,Win,8198,0.8198000000000001
17,25,Win,6984,0.6984
17,26,Win,5718,0.5718
18,17,Win,20408,2.0408
18,18,Push,19625,1.9625
18,19,Loss,18366,1.8366
18,20,Loss,25047,2.5047
18,21,Loss,10145,1.0145
18,21,Push,3176,0.3176
18,22,Win,10242,1.0242
18,23,Win,9235,0.9235
18,24,Win,7854,0.7854
18,25,Win,6702,0.6701999999999999
18,26,Win,5595,0.5595
19,17,Win,19288,1.9287999999999998
19,18,Win,18487,1.8487
19,19,Push,17896,1.7895999999999999
19,20,Loss,24055,2.4055
19,21,Loss,9666,0.9665999999999999
19,21,Push,2793,0.2793
19,22,Win,9928,0.9927999999999999
19,23,Win,8796,0.8796
19,24,Win,7632,0.7632
19,25,Win,6434,0.6434
19,26,Win,5181,0.5181
20,17,Win,26174,2.6174
20,18,Win,25501,2.5501
20,19,Win,24032,2.4032
20,20,Push,32722,3.2722
20,21,Loss,13115,1.3114999999999999
20,21,Push,5062,0.5062
20,22,Win,13008,1.3008
20,23,Win,11718,1.1718
20,24,Win,9943,0.9943000000000001
20,25,Win,8711,0.8711
20,26,Win,7237,0.7237
21,4,Push,255,0.025500000000000002
21,5,Push,584,0.0584
21,6,Push,874,0.0874
21,7,Push,1159,0.1159
21,8,Push,1410,0.14100000000000001
21,9,Push,1725,0.1725
21,10,Push,1979,0.1979
21,11,Push,2181,0.21810000000000002
21,12,Push,4575,0.4575
21,13,Push,4619,0.4619
21,14,Push,4264,0.42640000000000006
21,15,Push,3990,0.39899999999999997
21,16,Push,3753,0.37529999999999997
21,17,Push,3345,0.33449999999999996
21,17,Win,10407,1.0407
21,18,Push,3190,0.319
21,18,Win,10266,1.0266000000000002
21,19,Push,2836,0.2836
21,19,Win,9592,0.9591999999999999
21,20,Push,5094,0.5094
21,20,Win,12970,1.2970000000000002
21,21,Push,7491,0.7491
21,22,Win,5246,0.5246
21,23,Win,4701,0.4701
21,24,Win,4132,0.4132
21,25,Win,3363,0.3363
21,26,Win,2846,0.2846
22,17,Loss,10344,1.0344
22,18,Loss,10164,1.0164
22,19,Loss,9591,0.9591000000000001
22,20,Loss,13123,1.3123
22,21,Loss,5285,0.5285
22,22,Push,5171,0.5171
22,23,Push,4728,0.47280000000000005
22,24,Push,4166,0.4166
22,25,Push,3494,0.3494
22,26,Push,2868,0.2868
23,17,Loss,9140,0.914
23,18,Loss,9128,0.9128000000000001
23,19,Loss,8657,0.8657
23,20,Loss,11849,1.1849
23,21,Loss,4591,0.45909999999999995
23,22,Push,4840,0.484
23,23,Push,4175,0.4175
23,24,Push,3578,0.3578
23,25,Push,3162,0.3162
23,26,Push,2577,0.2577
24,17,Loss,8244,0.8243999999999999
24,18,Loss,7972,0.7972
24,19,Loss,7618,0.7618
24,20,Loss,10149,1.0149
24,21,Loss,4098,0.4098
24,22,Push,4049,0.4049
24,23,Push,3594,0.3594
24,24,Push,3256,0.3256
24,25,Push,2684,0.2684
24,26,Push,2195,0.2195
25,17,Loss,7017,0.7017
25,18,Loss,6642,0.6642
25,19,Loss,6266,0.6265999999999999
25,20,Loss,8659,0.8659
25,21,Loss,3427,0.3427
25,22,Push,3467,0.3467
25,23,Push,3107,0.3107
25,24,Push,2799,0.2799
25,25,Push,2347,0.23470000000000002
25,26,Push,1805,0.1805
26,17,Loss,5769,0.5769
26,18,Loss,5378,0.5378
26,19,Loss,5223,0.5223
26,20,Loss,7116,0.7116
26,21,Loss,2910,0.291
26,22,Push,2779,0.2779
26,23,Push,2547,0.2547
26,24,Push,2231,0.2231
26,25,Push,1907,0.1907
26,26,Push,1523,0.1523
