Player\Dealer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,278,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,562,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,838,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1153,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1292,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1562,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1947,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2217,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4428,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4536,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4150,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3904,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3523,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21008,20001,19282,26185,14093,10461,9331,8197,6968,5646
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20238,19578,18657,24878,13249,10018,8943,7853,6735,5585
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19293,18669,18156,24304,12585,9746,8735,7618,6547,5153
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26149,25175,24188,32532,18311,12970,11602,10238,8576,7020
21,0,0,0,0,275,542,823,1120,1426,1677,1905,2243,4525,4455,4134,3926,3497,13861,13235,12745,18154,7394,5290,4766,4086,3550,2860
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10434,10140,9752,13112,5492,5266,4714,3981,3527,2885
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9595,8836,8753,11742,4799,4784,4214,3675,3114,2495
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8234,7719,7733,10181,4050,4051,3627,3269,2704,2189
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7039,6768,6551,8686,3496,3478,3090,2721,2328,1950
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5824,5545,5351,7060,2732,2894,2505,2237,1814,1512
