player_total,dealer_total,result,count,percentage
4,21,Loss,3,0.03
5,21,Loss,9,0.09
6,21,Loss,4,0.04
7,21,Loss,12,0.12
8,21,Loss,11,0.11
9,21,Loss,15,0.15
10,21,Loss,18,0.18
11,21,Loss,31,0.31
12,21,Loss,55,0.5499999999999999
13,21,Loss,41,0.41000000000000003
14,21,Loss,49,0.49
15,21,Loss,37,0.37
16,21,Loss,27,0.27
17,17,Push,220,2.1999999999999997
17,18,Loss,200,2.0
17,19,Loss,218,2.18
17,20,Loss,260,2.6
17,21,Loss,147,1.47
17,22,Win,93,0.9299999999999999
17,23,Win,84,0.84
17,24,Win,71,0.7100000000000001
17,25,Win,72,0.72
17,26,Win,50,0.5
18,17,Win,214,2.1399999999999997
18,18,Push,184,1.8399999999999999
18,19,Loss,182,1.82
18,20,Loss,241,2.41
18,21,Loss,142,1.4200000000000002
18,22,Win,96,0.96
18,23,Win,81,0.8099999999999999
18,24,Win,77,0.77
18,25,Win,65,0.65
18,26,Win,52,0.52
19,17,Win,210,2.1
19,18,Win,177,1.77
19,19,Push,200,2.0
19,20,Loss,211,2.11
19,21,Loss,137,1.37
19,22,Win,107,1.0699999999999998
19,23,Win,91,0.91
19,24,Win,86,0.86
19,25,Win,68,0.6799999999999999
19,26,Win,49,0.49
20,17,Win,268,2.68
20,18,Win,256,2.56
20,19,Win,254,2.54
20,20,Push,315,3.15
20,21,Loss,202,2.02
20,22,Win,126,1.26
20,23,Win,121,1.21
20,24,Win,102,1.02
20,25,Win,63,0.63
20,26,Win,74,0.74
21,4,Win,1,0.01
21,5,Win,6,0.06
21,6,Win,10,0.1
21,7,Win,10,0.1
21,8,Win,7,0.06999999999999999
21,9,Win,16,0.16
21,10,Win,36,0.36
21,11,Win,25,0.25
21,12,Win,56,0.5599999999999999
21,13,Win,37,0.37
21,14,Win,46,0.45999999999999996
21,15,Win,35,0.35000000000000003
21,16,Win,37,0.37
21,17,Win,136,1.3599999999999999
21,18,Win,102,1.02
21,19,Win,133,1.3299999999999998
21,20,Win,163,1.63
21,21,Push,85,0.8500000000000001
21,22,Win,36,0.36
21,23,Win,54,0.54
21,24,Win,37,0.37
21,25,Win,27,0.27
21,26,Win,35,0.35000000000000003
22,17,Loss,110,1.0999999999999999
22,18,Loss,124,1.24
22,19,Loss,107,1.0699999999999998
22,20,Loss,118,1.18
22,21,Loss,52,0.52
22,22,Push,51,0.51
22,23,Push,55,0.5499999999999999
22,24,Push,36,0.36
22,25,Push,33,0.33
22,26,Push,19,0.19
23,17,Loss,100,1.0
23,18,Loss,83,0.83
23,19,Loss,99,0.9900000000000001
23,20,Loss,127,1.27
23,21,Loss,51,0.51
23,22,Push,39,0.38999999999999996
23,23,Push,42,0.42
23,24,Push,44,0.44
23,25,Push,33,0.33
23,26,Push,17,0.16999999999999998
24,17,Loss,70,0.7000000000000001
24,18,Loss,89,0.89
24,19,Loss,64,0.64
24,20,Loss,117,1.17
24,21,Loss,43,0.43
24,22,Push,37,0.37
24,23,Push,28,0.27999999999999997
24,24,Push,33,0.33
24,25,Push,26,0.26
24,26,Push,23,0.22999999999999998
25,17,Loss,76,0.76
25,18,Loss,68,0.6799999999999999
25,19,Loss,61,0.61
25,20,Loss,88,0.88
25,21,Loss,42,0.42
25,22,Push,36,0.36
25,23,Push,20,0.2
25,24,Push,26,0.26
25,25,Push,20,0.2
25,26,Push,24,0.24
26,17,Loss,47,0.47000000000000003
26,18,Loss,52,0.52
26,19,Loss,44,0.44
26,20,Loss,76,0.76
26,21,Loss,26,0.26
26,22,Push,22,0.22
26,23,Push,29,0.29
26,24,Push,23,0.22999999999999998
26,25,Push,23,0.22999999999999998
26,26,Push,19,0.19
