player_total,dealer_total,result,count,percentage
4,21,Loss,2,0.02
5,21,Loss,5,0.05
6,21,Loss,4,0.04
7,21,Loss,11,0.11
8,21,Loss,13,0.13
9,21,Loss,18,0.18
10,21,Loss,9,0.09
11,21,Loss,25,0.25
12,21,Loss,43,0.43
13,21,Loss,53,0.53
14,21,Loss,53,0.53
15,21,Loss,43,0.43
16,21,Loss,34,0.33999999999999997
17,17,Push,202,2.02
17,18,Loss,228,2.2800000000000002
17,19,Loss,181,1.81
17,20,Loss,259,2.59
17,21,Loss,149,1.49
17,22,Win,133,1.3299999999999998
17,23,Win,86,0.86
17,24,Win,78,0.7799999999999999
17,25,Win,70,0.7000000000000001
17,26,Win,51,0.51
18,17,Win,208,2.08
18,18,Push,195,1.95
18,19,Loss,195,1.95
18,20,Loss,237,2.37
18,21,Loss,141,1.41
18,22,Win,86,0.86
18,23,Win,102,1.02
18,24,Win,73,0.73
18,25,Win,65,0.65
18,26,Win,55,0.5499999999999999
19,17,Win,173,1.73
19,18,Win,189,1.8900000000000001
19,19,Push,184,1.8399999999999999
19,20,Loss,228,2.2800000000000002
19,21,Loss,111,1.11
19,22,Win,104,1.04
19,23,Win,79,0.79
19,24,Win,88,0.88
19,25,Win,69,0.69
19,26,Win,51,0.51
20,17,Win,273,2.73
20,18,Win,244,2.44
20,19,Win,248,2.48
20,20,Push,321,3.2099999999999995
20,21,Loss,170,1.7000000000000002
20,22,Win,111,1.11
20,23,Win,127,1.27
20,24,Win,97,0.97
20,25,Win,84,0.84
20,26,Win,65,0.65
21,4,Win,2,0.02
21,5,Win,7,0.06999999999999999
21,6,Win,9,0.09
21,7,Win,9,0.09
21,8,Win,13,0.13
21,9,Win,17,0.16999999999999998
21,10,Win,12,0.12
21,11,Win,22,0.22
21,12,Win,48,0.48
21,13,Win,29,0.29
21,14,Win,36,0.36
21,15,Win,34,0.33999999999999997
21,16,Win,33,0.33
21,17,Win,118,1.18
21,18,Win,134,1.34
21,19,Win,132,1.32
21,20,Win,169,1.69
21,21,Push,76,0.76
21,22,Win,51,0.51
21,23,Win,57,0.5700000000000001
21,24,Win,37,0.37
21,25,Win,32,0.32
21,26,Win,24,0.24
22,17,Loss,108,1.08
22,18,Loss,110,1.0999999999999999
22,19,Loss,102,1.02
22,20,Loss,137,1.37
22,21,Loss,60,0.6
22,22,Push,64,0.64
22,23,Push,48,0.48
22,24,Push,50,0.5
22,25,Push,26,0.26
22,26,Push,35,0.35000000000000003
23,17,Loss,104,1.04
23,18,Loss,89,0.89
23,19,Loss,71,0.7100000000000001
23,20,Loss,127,1.27
23,21,Loss,47,0.47000000000000003
23,22,Push,47,0.47000000000000003
23,23,Push,44,0.44
23,24,Push,37,0.37
23,25,Push,42,0.42
23,26,Push,34,0.33999999999999997
24,17,Loss,87,0.8699999999999999
24,18,Loss,74,0.74
24,19,Loss,69,0.69
24,20,Loss,100,1.0
24,21,Loss,44,0.44
24,22,Push,54,0.54
24,23,Push,31,0.31
24,24,Push,28,0.27999999999999997
24,25,Push,28,0.27999999999999997
24,26,Push,21,0.21
25,17,Loss,69,0.69
25,18,Loss,68,0.6799999999999999
25,19,Loss,67,0.67
25,20,Loss,97,0.97
25,21,Loss,33,0.33
25,22,Push,39,0.38999999999999996
25,23,Push,23,0.22999999999999998
25,24,Push,33,0.33
25,25,Push,25,0.25
25,26,Push,17,0.16999999999999998
26,17,Loss,54,0.54
26,18,Loss,60,0.6
26,19,Loss,66,0.66
26,20,Loss,73,0.73
26,21,Loss,34,0.33999999999999997
26,22,Push,27,0.27
26,23,Push,22,0.22
26,24,Push,17,0.16999999999999998
26,25,Push,17,0.16999999999999998
26,26,Push,17,0.16999999999999998
