Player\Dealer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220,200,218,260,147,93,84,71,72,50
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214,184,182,241,142,96,81,77,65,52
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210,177,200,211,137,107,91,86,68,49
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,268,256,254,315,202,126,121,102,63,74
21,0,0,0,0,1,6,10,10,7,16,36,25,56,37,46,35,37,136,102,133,163,85,36,54,37,27,35
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,124,107,118,52,51,55,36,33,19
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,83,99,127,51,39,42,44,33,17
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,89,64,117,43,37,28,33,26,23
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,68,61,88,42,36,20,26,20,24
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,52,44,76,26,22,29,23,23,19
