Player\Dealer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,271,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,557,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,905,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1164,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1501,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1638,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2049,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2249,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4552,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4474,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4230,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3897,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3652,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17751,18934,18241,24062,13440,9775,8783,7719,6592,5226
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18824,20168,19319,25677,13734,10434,9315,8123,6958,5613
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18124,19160,18512,24672,12976,10118,8872,7803,6605,5390
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23996,25777,24525,33009,18631,13257,11758,10643,8953,7240
21,0,0,0,0,272,527,860,1110,1450,1821,1886,2351,4522,4501,4115,4037,3624,13122,13925,12917,18693,7709,5480,4958,4373,3732,2980
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9826,10205,9968,13346,5519,5435,4887,4235,3627,2918
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8752,9195,8869,11955,4890,4704,4344,3803,3193,2593
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7539,8177,7645,10414,4288,4292,3858,3364,2802,2254
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6621,6928,6648,8811,3794,3590,3163,2778,2284,1994
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5265,5612,5312,7209,3073,2926,2602,2257,1880,1543
